,company,comp_id
0,"АО ""ДОМ.РФ""",1263
1,ПАО Банк ЗЕНИТ,538
2,"ПАО ""Калужская сбытовая компания""",5830
3,ПАО МОСОБЛБАНК,26831
4,"ОАО ""Левенгук""",31319
5,"ПАО ""ГК ""Нижегородский""",9613
6,"ПАО ""КЗФ""",888
7,АО БПЖТ,20410
8,"ОАО ""Швейная фабрика ""Победа""",32716
9,"АО ""ПЗ ""Расцвет""",36290
10,"ОАО ""МПОВТИ""",2947
11,"АО ""АВАНГАРД-АГРО""",16644
12,ООО «СФО СФИ»,37574
13,"ОАО ""Демидов-авто""",20089
14,"АО ""ИФЗ""",4308
15,"ОАО ""ДМЗ""",1068
16,"АО ""Промтрактор""",5653
17,"АО ""Торговый дом Казанский ЦУМ""",5305
18,"ОАО ""СОЗ""",3396
19,"АО ""Бываловский машиностроительный завод""",19932
20,"ПАО ""ВОЭ"" ПАО ""Волгоградоблэлектро""",11286
21,"ООО ""Лента""",32010
22,"ОАО ""РОРЗ""",32774
23,"АО  ""Мехколонна""",10211
24,АО «СМП Банк»,26869
25,"АО ""Мособлстрой № 5""",11789
26,"АОР ""Туринский ЦБЗ""",9542
27,"ПСФ ""Автодизель-сервис"" АО",19818
28,"ООО ""Каркаде""",11584
29,"АО ""СофтЛайн Трейд""",37065
30,АО «Сбербанк Управление Активами»,6731
31,"АО ""ЭЛИОН""",14187
32,ЗАО «ИА «Московский»,34263
33,"ОАО ""ЦНИИБ""",33285
34,"АО ""Газпром газораспределение Сыктывкар""",1353
35,"ОАО ""Лакша""",21407
36,"АО ""АТА""",28124
37,"Банк ""Вятич"" (ПАО)",1387
38,"Банк ""ВБРР"" (АО)",612
39,ПАО «УПТК «Чебоксарское»,35508
40,"ОАО ""АГП""",7312
41,"ПАО ""Центрторг""",5702
42,"ПАО  БАНК ""СИАБ""",3856
43,ОАО СМП,12187
44,АО «Ладья-Финанс»,9885
45,"АО ""Атомэнергопром""",11230
46,"ПАО ""Каменское""",7977
47,"ПАО ""МСЗ им. М.В. Фрунзе""",26064
48,"АО ""КПП""",14740
49,"ОАО ""УМ-1""",23501
50,"АО ""Самотлорнефть""",874
51,"ОАО ""Нижневартовскнефть"", ОАО ""НВН""",1137
52,"АО ""Тизприбор""",7548
53,НКО АО НРД,2240
54,ВЭБ.РФ,15609
55,"ПАО ""СФ ""АЛМАЗ""",3849
56,"АО ""СМП""",1556
57,"ПАО ""Сокольский ЦБК""",4836
58,"АО ""Роспечать""",10404
59,"ЗАО ""Велижский леспромхоз""",36744
60,"ОАО ""ТД ""ПРЕОБРАЖЕНСКИЙ""",3623
61,"ПАО ""ИСАТ""",32467
62,"ООО УК ""ОТКРЫТИЕ""",7154
63,"ОАО ""Белозернефть""",872
64,"АО ""Фряновская фабрика""",14927
65,"АО ""Молоко""",6412
66,"ПАО ""Башстройтранс""",3336
67,"АО ""НИИ ""Элпа""",25562
68,"АО ""Донаэродорстрой""",19234
69,"ОАО ""АПО ""Дружба""",22094
70,"АО ""Рассвет""",3744
71,"АО ""Канат""",887
72,"ПАО ""ГеоНеруд""",35754
73,"ОАО ""НПО ""ГЕЛИЙМАШ""",23461
74,"ПАО ""Продтовары""",23674
75,"ОАО ""КОМКОР""",10558
76,"ЗАОр ""НП КОНФИЛ""",3399
77,"АО ""УК ТФГ""",6674
78,"ПАО ""ПРОТЕК""",13943
79,"ПАО ""Нижнекамскшина""",152
80,ООО «УК «Навигатор»,32977
81,"ОАО ""Пятигорский завод ""Импульс""",7791
82,ООО «ГК «Сегежа»,38038
83,"АО ""БСК""",2069
84,"ОАО ""ОЭВРЗ""",1463
85,"АО ""СтИЗ""",22857
86,"ОАО ""ПРОФ-ИНВЕСТ V""",27068
87,"ОАО ""ВАЗ""",483
