,company,comp_id
0,"АО ""ЗСД""",26349
1,ПАО “Совкомфлот”,11967
2,"ПАО ""Уралкалий""",1233
3,ПАО «Тучковский КСМ»,7779
4,"ПАО ""ММЦБ""",37646
5,"ПАО ""Газпром нефть""",347
6,"ПАО ""ИCКЧ""",7814
7,"АО ""ТВЕС""",4048
8,"АО АПРИ ""Флай Плэнинг""",37277
9,"ПАО ""ПИНО""",36097
10,"ПАО ""Богучанская ГЭС""",1573
11,ПАО «Компания «Сухой»,13900
12,"ПАО ""СЕВАСТОПОЛЬСКОЕ АТП 14369""",36807
13,"ПАО ""ТНС энерго Воронеж""",4717
14,"АО ""НПК""",14050
15,"ПАО ""Новоросс-Инвест""",36098
16,"""СДМ-Банк"" (ПАО)",3589
17,"ОАО ""НЗТМ""",17544
18,"АО ""ПСЗ ""Янтарь""",15626
19,"ПАО ""ТНС энерго Марий Эл""",6070
20,Банк ВТБ (ПАО),1210
21,"ПАО ""Квадра""",6196
22,ПАО «ФСК ЕЭС»,379
23,ПАО Сбербанк,3043
24,ПАО «РУСАЛ Братск»,838
25,"НПАО ""Научприбор""",25417
26,"ПАО ""ОАК""",11433
27,"АО ""РАТЕП""",16804
28,"ОАО ""Яхонт""",16980
29,"ПАО ""Полюс""",7832
30,ВЭБ.РФ,15609
31,АО РТИ,18175
32,"АО ""Комета""",5366
33,ПАО «НК «Роснефть»-Ямалнефтепродукт»,19435
34,"ПАО ""Тулачермет""",1605
35,"ПАО ""ОГК-2""",7234
36,"ПАО ""Саратовэнерго""",3346
37,"ПАО ""Аптечная сеть 36,6""",1216
38,"АО ""АЗРИ""",4615
39,"ПАО ""ГМК ""Норильский никель""",564
40,"ПАО ""РУССКИЙ ПРОДУКТ""",405
41,"ПАО ""ТБФ""",928
42,ПАО «Совкомбанк»,30052
43,"ПАО ""Прожекторные угли""",33403
44,"ОАО ""Рыбинская городская электросеть""",32277
45,"ПАО ""ТНС энерго Ярославль""",6050
46,ОАО СМП,12187
47,"ПАО ""НИИИТ""",12271
48,ООО «ДОМ.РФ Ипотечный агент»,36731
49,АО РОСЭКСИМБАНК,1012
50,"ПАО ""ЛУКОЙЛ""",id=17
51,АО «ВНИКТИнефтехимоборудование»,11514
52,"АО ""Завод Строммашина""",13137
53,"ОАО ""СОЗ""",3396
54,"АО ""МЗ ""САПФИР""",1496
55,ПАО КБ «УБРиР»,306
56,"ПАО ""Газпром газораспределение Нижний Новгород""",7475
57,"ПАО ""Энергоспецмонтаж""",25762
58,"ПАО ""Уралмашзавод""",3679
59,"ПАО ""ТНС энерго НН""",7022
60,"АО ""Агропромтехника""",28625
61,"ПАО ""СИМФЕРОПОЛЬСКИЙ ОРПК""",37980
62,"ПАО  ""ТАНТК им. Г.М. Бериева""",3084
63,"ОАО ""Удмуртнефть""",1370
64,РНКБ Банк (ПАО),2225
65,ООО «Агронова-Л»,35563
66,"АО ""ВостСиб АГП""",32058
67,"ПАО ""Центрэнергохолдинг""",14372
68,"ОАО ""Химволокно""",8396
69,"АО ""Борская фабрика ПОШ""",7288
70,"ПАО ""Запсибкомбанк""",id=60
71,"АО ""Газпром газораспределение Киров""",12670
72,"ПАО ""Русская Аквакультура""",17531
73,"АО ""ТЯЖМАШ""",1399
74,"ОАО ""Марбиофарм""",2313
75,"ЗАО Аптека ""Очаково""",38068
76,"ОАО ""СПб завод ТЭМП""",3957
77,БАНК РМП (ПАО),2265
78,"ОАО ""ДЗРД""",5496
79,"ПАО ""НКХП""",10198
80,"ПАО ""ТНС энерго Кубань""",10624
81,"ОАО НПО ""Химавтоматика""",10737
82,"ОАО ""РОРЗ""",32774
83,"ПАО ""Мосстройпластмасс""",10002
84,"ПАО НК ""РуссНефть""",534
85,"ПАО ""Ижсталь""",4089
86,"ОАО ""Картель""",26777
87,АО «ПО «УОМЗ»,9179
88,"АО ""Мособлстрой № 5""",11789
89,"ПАО ""Новошип""",4384
90,"ОАО ""Уфастроймех""",8165
91,"ПАО ""Ижорские заводы""",2030
92,"ПАО ""Уфаоргсинтез""",2017
93,"ПАО ""Каменское""",7977
94,"ПАО ""Туристский комплекс Клязьминское водохранилище""",36295
95,"ПАО ""Совавто-С.Петербург""",2183
96,"ПАО ""КГК""",17935
97,"ПАО ""ДНПП""",16721
98,"ПАО ""Уралкуз""",5234
99,"ПАО ""КуйбышевАзот""",703
100,"АО ""БСК""",2069
101,"ПАО ""Фортум""",8657
102,"ПАО ""АСКО-СТРАХОВАНИЕ""",36458
103,"ОАО ""ОКБ им. А.С.Яковлева""",31141
104,"ПАО ""Кубаньэнерго""",2827
105,"ПАО ""МЭСС""",5566
106,"АО ""Радий""",14168
107,"ПАО ""ЮК ГРЭС""",8768
108,"ООО ""Электрощит-Стройсистема""",37681
109,"ПАО ""Ярославский радиозавод""",6982
110,"НШЗАО ""Весна""",9666
111,"АО ""Элтра-Термо""",2942
